cinema ID number,objectid,filename,title,alternatives names,venue type,opened,date,closed,county,city,street,location,proprietor,manager,projectionist,musical director,soloists,architect,seats,projector,description,references,notes,latitude,longitude,field1
181,Cinema181,,"Electric Cinema, Mountmellick",,Cinema,,1899,,Queen's County,Mountmellick,,"Mountmellick, Queen's County",,,,,,,,,Proprieter: Manager: Musical Director: ,https://www.leinsterexpress.ie/news/features/79885/A-century-long-love-affair-with.html,,,,0
182,Cinema182,,"Electric Picture Palace, Cavan","Cavan Electric Pictures, Town Hall",Multipurpose venue,11-Nov-12,1912,,Cavan,Cavan,Town Hall Street,"Cavan, Cavan",James A. Thompson (1914); Vincent Kennedy (May 1914-?); Sherwood (1916-20); Joseph Stanley (1921-34),Alf Walshe (1912-1914); Joseph Smyth (May 1914-?); Miss Walker (1924-27),Willie McCourt (1913-14); Alec Noble (1914; joined Royal Irish Fusiliers),"Ruby Moore (piano, 1912)",,,400,Butcher,"Proprieter: James A. Thompson (1914); Vincent Kennedy (May 1914-?); Sherwood (1916-20); Joseph Stanley (1921-34)Manager: Alf Walshe (1912-1914); Joseph Smyth (May 1914-?); Miss Walker (1924-27)Musical Director: Ruby Moore (piano, 1912)","Bio 20/11/1913 (Thompson), 04/12/1913 (Walshe, seating); Anglo-Celt 05/03/1910 (seats), 14/09/1912 (council), 12/10/1912 (council), 09/11/1912 (council), 16/11/1912 (opening), 23/11/1912 (ad), 24/07/1914 (Noble); Irish Post 17/01/1914 (McCourt), 21/05/1927 (Walker leaving)",,53.991088495323986,7.362199056748885,0
183,Cinema183,,Boyne Cinema,,Cinema,27-Jan-19,1919,,Louth,Drogheda,Fair Street,"Drogheda, Louth",Joseph Stanley,,,,,,,,Proprieter: Joseph StanleyManager: Musical Director: ,Rocketts (opening date),"53.716483220695004, -6.355650364516392","53.716483220695004, -6.35565036451639253.716483220695004, -6.355650364516392",6.355650364516392,0
184,Cinema184,,"Picture Palace, Randalstown",,Cinema,29-Mar-15,1915,,Antrim,Randalstown,New Street,"Randalstown, Antrim","Randalstown Picture Palace Co. (J. Owens,  A. L. McClelland, J. Clarke, W. Allen and W. Kelly)",,,,,,,,"Proprieter: Randalstown Picture Palace Co. (J. Owens,  A. L. McClelland, J. Clarke, W. Allen and W. Kelly)Manager: Musical Director: ",Bio 06/05/1915 (company); Ballymena Weekly Telegraph 08/04/1915 (opening),Opening date based on company registration,,,0
185,Cinema185,,Kinemac,,Cinema,14-Dec-14,1914,28/07/1917,Cork,Skibbereen,Ilen Street,"Skibbereen, Cork",Gerald Macaura,Michael J. Hayes,,,"Eva Waldron, Cauraphone",,380,Gaumont Chrono de Luxe,Proprieter: Gerald MacauraManager: Michael J. HayesMusical Director: ,"Skibbereen Eagle 12/12/1914 (opening, Macaura); Bio 21/01/1915; https://skibbheritage.com/the-kinemac-the-first-cinema-in-skibbereen/","3d, 6d, 1s; ""The “Kinemac” is situated just outside the station, and has a very pretty and engaging front. The dimensions are 40 feet by 32 feet, with seating accommodation for four hundred people"" (SS 19/12/1914)",,,0
186,Cinema186,,Bandon Cinema Hall,,Cinema,01-Mar-14,1914,,Cork,Bandon,,"Bandon, Cork",,,,,,,,,Proprieter: Manager: Musical Director: ,Skibbereen Eagle 07/03/1914 (opening),,,,0
187,Cinema187,,Bray Cinema,"Coliseum, Bray",Cinema,09-Mar-14,1914,,Wicklow,Bray,Florence Road,"Bray, Wicklow","1914: Bray Cinema Co. (); 1915: Bray Coliseum Co. (David Frame, Henry Grandy, J. Dunne)",Captain J. R. Smallman,,,,,,,"Proprieter: 1914: Bray Cinema Co. (); 1915: Bray Coliseum Co. (David Frame, Henry Grandy, J. Dunne)Manager: Captain J. R. SmallmanMusical Director: ","Bio 06/11/1913 (company), 11/12/1913 (construction), 12/03/1914 (opened by Gaumont)",Opening date estimated,,,0
188,Cinema188,,Strand Cinema,,Cinema,15-Mar-19,1919,,Cork,Passage West,Penny's Quay,"Passage West, Cork",D. Hayes (1919-21); Olive Crosse (1924-29),,,,,,,Kamm,Proprieter: D. Hayes (1919-21); Olive Crosse (1924-29)Manager: Musical Director: ,"II 15/03/1919 (Hayes, harmonium); CE",Opening date based on first newspaper citation,"51.87063, -8.334668",-8.334668,0
189,Cinema189,,"Coliseum, Kinsale",,Cinema,28-Jun-15,1915,,Cork,Kinsale,Higher Street,"Kinsale, Cork",Southern Coliseums,D.P. Foley,,,,,,,Proprieter: Southern ColiseumsManager: D.P. FoleyMusical Director: ,"Bio 01/07/1915 (opening, 400, Wright; KLW 20/04/1916; SS 19/08/1916 (location, Foley)","Opening date estimated. Location seems to be the Fisherman's Hall; an ad for its sale in 1923 gives the address as Higher Street, where most of the buildings are residential; also SS 19/08/1916 mentions site as ""old Fish Markets""",51.70384438344922,-8.522053147375468,0
190,Cinema190,,Stafford's Picture Theatre,,Cinema,09-Oct-13,1913,,Longford,Longford,Killashee Street,"Longford, Longford",James J. Stafford,,,,,,,,Proprieter: James J. StaffordManager: Musical Director: ,"Longford Leader 21/06/1913 (construction), 11/10/1913 (opening), 18/10/1913, 25/10/1913; WP",,,,0
191,Cinema191,,Dann's Pictures,"Picture Palace, Market Square",Cinema,,1899,,Longford,Longford,Market Square,"Longford, Longford",,J. R. Dann,,Lottie Dann,"Lottie Dann, May Airlie",,,,Proprieter: Manager: J. R. DannMusical Director: Lottie Dann,"Longford Leader 02/08/1913, 18/10/1913, 25/10/1913",,,,0
193,Cinema193,,Ballina Picture Palace,"Town Hall, Ballina",Cinema,01-Feb-14,1914,,Mayo,Ballina,Arthur Street,"Ballina, Mayo",James Ahearn,,,Mr Jones and Hibernian Band,,,,,Proprieter: James AhearnManager: Musical Director: Mr Jones and Hibernian Band,"WeP 31/01/1914 (opening, Aherne, ads), 07/02/1914 (opening report),",,54.114365,-9.159435,0
195,Cinema195,,"Picture Palace, Dungarvan",,Cinema,13-Apr-14,1914,,Waterford,Dungarvan,Davitt's Quay,"Dungarvan, Waterford",Daniel Crotty,Regan (1917),,,,,550,,Proprieter: Daniel CrottyManager: Regan (1917)Musical Director: ,"Dungarvan Observer 04/04/1914 (details);Munster Express 09/02/1917 (Regan); Bio 21/10/1915 (Crotty), 26/10/1916",,52.091564,-7.620585,2
196,Cinema196,,Belturbet Cinema,,Cinema,05-Dec-13,1913,,Cavan,Belturbet,"Town Hall, the Diamond, Church Street","Belturbet, Cavan",Ebbitt and Charles Burham,,,Jack Mee leading the Belturbet Orchestra,,,,,Proprieter: Ebbitt and Charles BurhamManager: Musical Director: Jack Mee leading the Belturbet Orchestra,"Anglo-Celt 29/11/913 (ad),",,,,0
197,Cinema197,,Mallow Picture House,,Cinema,,1899,,Cork,Mallow,,"Mallow, Cork",McGregor,,,,,,,,Proprieter: McGregorManager: Musical Director: ,CE 23/11/1915 (McGregor),,,,0
198,Cinema198,,Abbey Picture House,,Cinema,,1899,,Wexford,Enniscorthy,,"Enniscorthy, Wexford",,,,,,,,,Proprieter: Manager: Musical Director: ,,,,,0
199,Cinema199,,"Cinema Theatre, Enniscorthy",,Cinema,08-Dec-15,1915,,Wexford,Enniscorthy,New Street,"Enniscorthy, Wexford",,,,,,,,,Proprieter: Manager: Musical Director: ,Eecy 27,,,,0
200,Cinema200,,Kells Picture House,"Kells Picture Theatre, Kells Picture Palace",Cinema,03-Jun-14,1914,,Meath,Kells,Market Yard,"Kells, Meath",James Carroll,,,,,,,,Proprieter: James CarrollManager: Musical Director: ,"Meath Chronicle 25/04/1914 (Carroll, address, ), 06/06/1914 (Carroll), opening), 15/08/1915",,53.726555,6.878753,0
201,Cinema201,,Strabane Pallidrome Picture Palace,"Picture Palace, Strabane",Cinema,07-Jun-13,1913,,Tyrone,Strabane,Railway Road,"Strabane, Tyrone",J A Burrows (June 1913); Herbert F. Cooper (Nov 1913-),Archibald Richard,,J.W. Rome (pianist),,,,,Proprieter: J A Burrows (June 1913); Herbert F. Cooper (Nov 1913-)Manager: Archibald RichardMusical Director: J.W. Rome (pianist),"StC; KLW 27/11/1913 (Richard, Cooper, Rome)",,,,0
202,Cinema202,,"Electric Theatre, Larne",,Cinema,01-Jun-11,1911,,Antrim,Larne,Main Street,"Larne, Antrim",Irish Electric Palaces,William D. Ryall,,,,,,,Proprieter: Irish Electric PalacesManager: William D. RyallMusical Director: ,"Larne Times 03/06/1911 (opening), 10/06/1911 (opening, proprietor, manager, decoration)",,,,0
203,Cinema203,,Corinthian Cinema,,Cinema,08-Aug-21,1921,,Dublin,Dublin,4-6 Eden Quay,"Dublin, Dublin","James Coneys Nolan, Eric Nolan, William J. Gibson Orr",,,,,Thomas F. McNamara,1000,,"Proprieter: James Coneys Nolan, Eric Nolan, William J. Gibson OrrManager: Musical Director: ",,,53.347934,-6.258430,6
204,Cinema204,,Grand Central Cinema,,Cinema,10-Oct-21,1921,,Dublin,Dublin,6-7 Lr Sackville/O'Connell Street,"Dublin, Dublin",Irish Kinematograph Co (John J. Farrell),,,Arthur Darley and Mr Kiernan,,,900,,Proprieter: Irish Kinematograph Co (John J. Farrell)Manager: Musical Director: Arthur Darley and Mr Kiernan,,,53.348097,-6.259104,6
205,Cinema205,,Metropole Cinema,,Cinema,09-Feb-22,1922,,Dublin,Dublin,35-39 Lr Sackville/O'Connell Street,"Dublin, Dublin",WP Corrigan,,,,,Aubrey O'Rourke,1500,,Proprieter: WP CorriganManager: Musical Director: ,"IT 09/02/1922 (opening, Corrigan, seats)",,53.348829,-6.260394,0
206,Cinema206,,Palace Cinema Theatre,,Cinema,,1899,,Cork,Fermoy,West Quay,"Fermoy, Cork",,,,,,,,,Proprieter: Manager: Musical Director: ,CE 26/08/1914; Bio,,,,0
207,Cinema207,,"Cinema, New Ross",,Cinema,,1899,,Wexford,New Ross,,"New Ross, Wexford",,,J. Ward,,,"Alleyn O'Malley Lovell, Waterford",,,Proprieter: Manager: Musical Director: ,IL 10/1917 (Ward),,,,0
208,Cinema208,,La Scala Theatre,,Cinema,10-Aug-20,1920,,Dublin,Dublin,4-8 Princes Street North,"Dublin, Dublin",F.W. Chambers,"T. Arthur Senior, Tony Reddin",,W.T.W. Mortimer,23 musicians,,3200,,"Proprieter: F.W. ChambersManager: T. Arthur Senior, Tony ReddinMusical Director: W.T.W. Mortimer","IT 09/08/1920; EH 09/08/1920, 11/08/1920",,53.348831070772654,6.261159173749551,0
209,Cinema209,,"Cinema, the Mall",,Cinema,,1899,,Galway,Tuam,"Stable Lane, Corralea West","Tuam, Galway",O'Connor,,,"Miss Corry (pianist, 1921)",,,,,"Proprieter: O'ConnorManager: Musical Director: Miss Corry (pianist, 1921)","TuH (ads from 3 Feb 1917), CTr 29/01/1921 (Corry); Cinema Treasures (address, O'Connor)",,53.51327804704912,-8.853302354378332,0
210,Cinema210,,Westport Cinema Theatre,,Cinema,,1899,,Mayo,Westport,,"Westport, Mayo",,,,,,,,,Proprieter: Manager: Musical Director: ,,,,,0
211,Cinema211,,"Cinema Palace, Cahir",,Cinema,24-Mar-19,1919,,Tipperary,Cahir,The Square,"Cahir, Tipperary",Mulcahy,,,,,,,,Proprieter: MulcahyManager: Musical Director: ,NT 29/03/1919 (ad),,52.374737116597124,7.923928608788081,0
212,Cinema212,,Shannon Cinema,Father Mathew Hall,Cinema,,1899,,Westmeath,Athlone,,"Athlone, Westmeath",James T. Jameson (1915-); Barnardo,Joe Gallagher (1919),,,,,,,Proprieter: James T. Jameson (1915-); BarnardoManager: Joe Gallagher (1919)Musical Director: ,WI 12/05/1923 (fire),,"53.423790, -7.942842",-7.942842,0
213,Cinema213,,Longworth Hall,Electric Pictures,Cinema,,1899,,Westmeath,Athlone,Northgate Street,"Athlone, Westmeath",J. Ormonde-Dann,,,,,,,,Proprieter: J. Ormonde-DannManager: Musical Director: ,,Location is approximate; McGowan's Hall is not on OSi maps,"53.424529, -7.942842",-7.940617,0
214,Cinema214,,"Electric Cinema, Tullamore",,Cinema,,1899,,King's County,Tullamore,,"Tullamore, King's County",Irish National Foresters,,,J. J. Murphy,Miss Hoare (pianist),,,,Proprieter: Irish National ForestersManager: Musical Director: J. J. Murphy,"WI 09/12/1916 (Murphy),",Is this the YCMS operating in 1922?,53.275032906173074,-7.490788898130933,0
215,Cinema215,,Star Picture House,,Cinema,23-Nov-19,1919,c.30/04/1923,Mayo,Castlebar,Main Street,"Castlebar, Mayo",Brady,,,,"Miss McLynskey (piano), J.J. Collins (piccolo)",,,,Proprieter: BradyManager: Musical Director: ,"CT 22/11/1919 (opening, soloists); II 30/04/1923 (sale)",,53.856449,-9.298476,0
216,Cinema216,,Ellison Cinema,Bourke's Pictures,Cinema,07-Nov-19,1919,,Mayo,Castlebar,Ellison Street,"Castlebar, Mayo",Bourke,,,,,,,,Proprieter: BourkeManager: Musical Director: ,CT 15/11/1919 (opening),Location based on inforation on,53.855653,-9.299275,0
217,Cinema217,,Cinema Hall,,Cinema,,1899,,Westmeath,Castlepollard,,"Castlepollard, Westmeath",Dunne,,,,,,,,Proprieter: DunneManager: Musical Director: ,II 08/12/1919 (small ad),May have been temporary cinema in town hall for Christmas,,,0
218,Cinema218,,"Cinema, Nobber Hall",,Cinema,21-Sep-19,1919,,Meath,Nobber,,"Nobber, Meath",,Michael Monaghan,,,,,400,,Proprieter: Manager: Michael MonaghanMusical Director: ,"Meath Chronicle 11/03/1916 (hall opening, seating); Drog Ind 25/10/1919 (Monaghan)",Date of opening estimated based on advertised programming. Platform ideal for cinema screenings incorporated at opening.,,,0
220,Cinema220,,Lee Cinema,,Cinema,01-Nov-20,1920,,Cork,Cork,1-2 Winthrop Street,"Cork, Cork",Patrick McGarry,,,,,,,,Proprieter: Patrick McGarryManager: Musical Director: ,McSweeney 68 (opening; no reference); II 13/12/1920 (burned down); CE 16/12/1920 (McGarry),Burned down during the burning of Cork 12/12/1920,51.89881751850834,8.470805641454698,0
221,Cinema221,,Excelsior Cinema,,Cinema,14-Dec-20,1920,,Wicklow,Wicklow,Fitzwilliam Square,"Wicklow, Wicklow",John Clarke,,,"Kenney string band (piano, violin)",,,,,"Proprieter: John ClarkeManager: Musical Director: Kenney string band (piano, violin)","Wicklow Newslatter 11/12/1920 (opening, ad); Wicklow People 18/12/1920 (band)",,52.980888377268684,6.043306918450115,0
222,Cinema222,,Enniskillen Picture Theatre,,Cinema,01-Feb-13,1913,,Fermanagh,Enniskillen,,"Enniskillen, Fermanagh",Dundelegan Picture Company,"Eric Thornber (1913-14), Con O'Mahony (1914-), J. Gormley",,,"Ms. Wray (violin), Ms. McDonagh (piano)",,,,"Proprieter: Dundelegan Picture CompanyManager: Eric Thornber (1913-14), Con O'Mahony (1914-), J. GormleyMusical Director: ","Bio 27/02/1913 (Thornber), 25/12/1913 (town hall, Thornber, Dundelegan); Fermanagh Herald 03/04/1920 (Gormley); FT 22/05/1924 (Wray, McDonagh)",Date of opening estimated based on first references in Bio.,54.344752,-7.638550,0
223,Cinema223,,Park View Cinema,,Cinema,01-Jul-17,1917,,Tipperary,Carrick-on-Suir,,"Carrick-on-Suir, Tipperary",Patrick McGrath,Patrick McGrath; Miss Kerr (1923),Jack Doherty,,,,,,Proprieter: Patrick McGrathManager: Patrick McGrath; Miss Kerr (1923)Musical Director: ,"KLW 19/12/1918 (listed); Cinema Treasures (opening 1919; McGrath, address); Nationalist  (Doherty leaves 29/01/1921)",Earliest reference in KO 17/11/1917 which describes it as being pretentious and lit by many light bulbs,,,0
224,Cinema224,,Palace Cinema,,Cinema,13-May-20,1920,,Dublin,Dublin,41 Gt Brunswick Street,"Dublin, Dublin",Isaac Eppel,,,John Mundy,,,,,Proprieter: Isaac EppelManager: Musical Director: John Mundy,"IT 14/05/1920 (opening, Mundy);",,53.344395030577125,6.249978406673131,0
225,Cinema225,,Clonmel Cinema Theatre,Electric Picture Palace; Picturedrome,Cinema,09-Dec-12,1912,18/06/1921,Tipperary,Clonmel,Upper Gladstone Street,"Clonmel, Tipperary",John S. Whitney & Dawson and Mary Murphy (1912); Alex McEwan,Whitney & Dawson (1912); A.J. Harris Whitney (1913); C. Garton Davey (-1914)Trehy (1921),Dawson,"Gladys Long (1913, 1921)",Picturedrome Orchestra,,500,,"Proprieter: John S. Whitney & Dawson and Mary Murphy (1912); Alex McEwanManager: Whitney & Dawson (1912); A.J. Harris Whitney (1913); C. Garton Davey (-1914)Trehy (1921)Musical Director: Gladys Long (1913, 1921)","NT 11/12/1912 (opening, seats, operator, rake), 02/07/1913 (ad; Harris Whitney, Long), 03/01/1917 (site, licence, McEwan), 17/02/1917 (opening, orchestra), 23/04/1921 (Trehy, Long), 18/06/1921 (closed); KLW 11/06/1914 (Garton Davey)",Reopened by McEwan on 19/02/1917 on the site of Mary Murphy's hotel. Closing date based on report in NT,52.355482101931536,7.70276498363786,0
226,Cinema226,,Provincial Electric Cinema,,Cinema,13-Apr-19,1919,,Roscommon,Roscommon,Harrison Hall,"Roscommon, Roscommon",James Gavin & M Brady,,,Sweeney's Orchestra,,,,,Proprieter: James Gavin & M BradyManager: Musical Director: Sweeney's Orchestra,"Roscommon Messenger 19/04/1919 (opening, Gavin & Brady), 20/12/1919 (ad)",,53.63123940991508,8.190593616880706,0
227,Cinema227,,Fermoy Cinema Theatre,Kinema,Cinema,01-Feb-13,1913,,Cork,Fermoy,Francis Stret,"Fermoy, Cork",John Stogdale Noble and Robert O'Mahony (1914-);,J.P. Laws (1913): John Stogdale Noble,J.P. Laws (1913),,,,,,Proprieter: John Stogdale Noble and Robert O'Mahony (1914-);Manager: J.P. Laws (1913): John Stogdale NobleMusical Director: ,"CE 08/01/1914, 26/02/1914 (Noble, O'Mahony; KLW 11/09/1913 (J.P. Laws), 16/10/1913 (Pounds)",Opening date apporximate,0,0,0
228,Cinema228,,"Cinema, Cashel",,Cinema,07-Jan-19,1919,,Tipperary,Cashel,,"Cashel, Tipperary",M.H. Hannigan,,,,,,,,Proprieter: M.H. HanniganManager: Musical Director: ,NT 29/09/1920,,0,0,0
229,Cinema229,,Garryowen Cinema,,Cinema,05-Mar-20,1920,,Limerick,Limerick,Broad Street,"Limerick, Limerick",,,,,,,450,Gaumont,Proprieter: Manager: Musical Director: ,"LE 02/03/1920 (opening); CE 06/11/1920 (Gaumont, seats, etc.)",,52.665681647455514,8.61991035707981,0
230,Cinema230,,Washington Cinema,,Cinema,15-Jan-20,1920,,Cork,Cork,11-12 Great George's Street,"Cork, Cork",,,,,,,,,Proprieter: Manager: Musical Director: ,EE 14/01/1920 (opening ad),Great George's Street later became Washington Street,51.8976899312945,8.476602981849023,0
231,Cinema231,,Blackpool Cinema,,Cinema,25-Oct-20,1920,,Cork,Cork,70-74 Watercourse Road,"Cork, Cork",,,,,,,,,Proprieter: Manager: Musical Director: ,"Bio 08/06/1920 (registered); CE 23/10/1920 (opening); Sweeney (7,111 address)",,51.909342416648,8.473733064150894,0
232,Cinema232,,Bellevue Cinema,,Cinema,23-Sep-20,1920,,Cork,Cork,Military Road,"Cork, Cork",,,,,,,,,Proprieter: Manager: Musical Director: ,"CE 23/09/1920 (opening ad), 24/09/1920 (opening)",,51.906765438229655,8.462005418899208,0
233,Cinema233,,Kinema,,Cinema,11-Jan-19,1919,,Kildare,Naas,,"Naas, Kildare",H.H. Bradlaw; P.F. Foy (1923),Woodlock,,"Miss ""Patch"" Carlton",,,160,,"Proprieter: H.H. Bradlaw; P.F. Foy (1923)Manager: WoodlockMusical Director: Miss ""Patch"" Carlton","LeL 11/01/1919 (Bradlaw), 03/02/1923 (TH, Foy, seating); KO 11/01/1919 (Bradlaw); KLW 14/04/1919 (Woodlock), 01/05/1919 (Carlton),",Opening date based on council meeting granting licence,0,0,0
234,Cinema234,,Picturedrome,,Cinema,01-Nov-17,1917,04/01/1921,Tipperary,Tipperary,Jame's Street,"Tipperary, Tipperary",William G. Evans,,Joseph Burke,,,,,,Proprieter: William G. EvansManager: Musical Director: ,FJ 05/01/1921 (burning); NT (Burke),Opening date based on first mention in Kine Weekly ad. Charles Perkins gave evidence in compensation case after burning down of checking the presmises before the close; he may have been the manager or caretaker.,0,0,0
235,Cinema235,,Electric Theatre,Tivoli,Cinema,01-Nov-12,1912,,Tipperary,Tipperary,Henry (now O'Brien) Street,"Tipperary, Tipperary",,Livermore,,,,,,,Proprieter: Manager: LivermoreMusical Director: ,"NT 06/11/1912 (licence), 09/11/1912 (Livermore); TS 18/05/1912 (Titanic benefit), 23/12/1916 (Livermore); II 07/01/1921 (closed by military); FJ 07/01/1921; EE 07/01/1921",Opening date based on licence application,52.52.472898,-8.-8.164840,0
237,Cinema237,,"Picture House, Dingle",,Cinema,09-Oct-20,1920,,Kerry,Dingle,,"Dingle, Kerry",Houlihan,,,,,,,,Proprieter: HoulihanManager: Musical Director: ,"Kerryman 09/10/1920 (shows at Houlihan's and courthouse), 22/01/1921 (continues in curfew); Kerry People 09/07/1921 (fire)",Destroyed by fire on 06/07/1921; was it rebuilt?,0,0,0
238,Cinema238,,,,,,1899,,Kerry,Killarney,,"Killarney, Kerry",,,,,,,,,Proprieter: Manager: Musical Director: ,,,0,0,0
239,Cinema239,,Diamond Picture Palace,Town Hall,Cinema,01-Nov-13,1913,,Monaghan,Monaghan,,"Monaghan, Monaghan",P.J. MacMahon (secretary),,,,,,,Ernemann,Proprieter: P.J. MacMahon (secretary)Manager: Musical Director: ,"KLW 27/11/1913 (open, MacMahon, TH); Bio 18/12/1913 (Ernemann)",Opening date estimated based on KLW item,54.24875849902583,-6.969020669911334,0
240,Cinema240,,Bessbrook Cinema,,Cinema,01-Dec-13,1913,,Armagh,Bessbrook,,"Bessbrook, Armagh",E. Granger,,,,,,,,Proprieter: E. GrangerManager: Musical Director: ,KLW 04/12/1913 (Granger),Opening date estimated based on KLW listing,0,0,0
241,Cinema241,,"Picture House, Castleblaney",,Cinema,01-Dec-13,1913,,Monaghan,Castleblaney,,"Castleblaney, Monaghan",W. McGrath,,,,,,,,Proprieter: W. McGrathManager: Musical Director: ,KLW 04/12/1913 (McGrath),Opening date estimated based on KLW listing,0,0,0
242,Cinema242,,Clones Electric Theatre,St. Joseph's Temperance Hall,Multipurpose venue,01-Oct-16,1916,,Monaghan,Clones,,"Clones, Monaghan",,,J.J. Kerr,,,,,,Proprieter: Manager: Musical Director: ,KLW 12/10/1916 (Kerr),Opening date estimate based on KLW item. Kerr wrote with a problem to Kine Weekly.,54.18267066806102,-7.234397241964411,0
243,Cinema243,,"Picture Palace, Newbridge",Sheridan's Hall,Multipurpose venue,01-Dec-12,1912,,Kildare,Newbridge,,"Newbridge, Kildare","Sheridan and Mallin (1912), H&M Cinema (1913)",McCracken (1913),,,,,,,"Proprieter: Sheridan and Mallin (1912), H&M Cinema (1913)Manager: McCracken (1913)Musical Director: ","KLW 31/10/1912 (Sheridan Hall reconstructed), 24/04/1913 (H &M Co), 22/05/1913 (McCracken)",Opening date estimated based on report in KLW,0,0,0
244,Cinema244,,National Theatre,,Cinema,03-Oct-13,1913,,Tipperary,Thurles,Friar Street,"Thurles, Tipperary",John and Patrick McGrath,,,,,J.J. Fitzsimons,1000,,Proprieter: John and Patrick McGrathManager: Musical Director: ,"TS 04/10/1913 (opening)  11/10/1913 (opening, decoration, seats, McGrath, Fitzsimons); NT 18/10/1916 (McGraths, Friar St)",Location based on Thurles Drama Group,52.678381,-7.819127,1
245,Cinema245,,"Cinema Hall, Clogheen",,Cinema,13-Feb-18,1918,,Tipperary,Clogheen,,"Clogheen, Tipperary",J. Browne,,,,,,,,Proprieter: J. BrowneManager: Musical Director: ,NT 13/02/1918 (Browne),Opening date estimated based on first mention in Nationalist,,,0
246,Cinema246,,Pavilion,,Cinema,10-Mar-21,1921,,Cork,Cork,80-82 Patrick Street,"Cork, Cork",,Fred Harford,,Dr Eveleigh,Signor Grossi,,,,Proprieter: Manager: Fred HarfordMusical Director: Dr Eveleigh,"CE 10/03/1921 (opening ad), 11/03/1921 (opening, Harford, Grossi, furnishing, decorating)","Furnishings by Munster Arcade, painting and decorating by John O'Connell, Cork",51.89839865135794,-8.473794067224112,0
247,Cinema247,,Electric Palace,,Cinema,,1899,,Kildare,Kildare,,"Kildare, Kildare",Purcell,,,,,,,,Proprieter: PurcellManager: Musical Director: ,KLW 24/04/1913 (Purcell),,,,0
248,Cinema248,,Oisin Theatre,,Theatre,04-Jul-21,1921,,Tipperary,Clonmel,22 O'Connell Street,"Clonmel, Tipperary",T.A. Morris and William O'Keeffe,W.B. Symes,Patrick Walsh,Miss Fitzgerald,,,1000,,Proprieter: T.A. Morris and William O'KeeffeManager: W.B. SymesMusical Director: Miss Fitzgerald,Nationalist,,52.3524836706798,-7.7039623409400875,0
249,Cinema249,,Southern Star Cinema,,Cinema,17-Aug-20,1920,,Cork,Midleton,Cork Bridge,"Midleton, Cork","James Coleman, Timothy Murphy, Denis Sheehan, Philip Hyde, Margaret Murphy",,,,,,,,"Proprieter: James Coleman, Timothy Murphy, Denis Sheehan, Philip Hyde, Margaret MurphyManager: Musical Director: ","CE 17/03/1920 (name, licence, proprietors)",Opening date estimated from licence application,51.9165304638298,8.175809777058008,0
250,Cinema250,,Strand Palace,,Cinema,05-Jul-20,1920,,Cork,Youghal,Upper Strand,"Youghal, Cork",R.L. Atkins (1922),Fred Leighton (1920),,E. Connolly (1920),,,,,Proprieter: R.L. Atkins (1922)Manager: Fred Leighton (1920)Musical Director: E. Connolly (1920),"CE 26/06/1920 (opening, Connolly), 03/07/1920 (opening ad, Leighton)","Opened as variety theatre with some film, then auctioned in Feb 1921",51.94059511355273,-7.844785538630916,0
251,Cinema251,,Cinema,,Cinema,17-Sep-21,1921,,Waterford,Lismore,South Mall,"Lismore, Waterford",,,,,,,,,Proprieter: Manager: Musical Director: ,FJ 16/09/1921 (opening),Opening date based on first reference (FJ),52.13812986301353,-7.929655236537319,0
252,Cinema252,,Oriel Cinema,,Cinema,27-Sep-19,1919,,Louth,Dundalk,Market Street,"Dundalk, Louth",Joseph Stanley,,,,,,,,Proprieter: Joseph StanleyManager: Musical Director: ,DD 27/09/1919 (licence),Opening date based on first report of licence. This venue may be the same as the Market Street Picture House; Stanley took over the Irish National Foresters' Hall.,54.005186,-6.-6.401164,0
253,Cinema253,,Greystones Picture Palace,,Cinema,15-Aug-17,1917,,Wicklow,Greystones,Sidmonton,"Greystones, Wicklow",P.J. O'Connor and J. Deveraux,Vincent L. Cullen,,,,,250,,Proprieter: P.J. O'Connor and J. DeverauxManager: Vincent L. CullenMusical Director: ,"WNL 18/08/1917 (opening, location, seats);9 KLW 14/06/1917 (O'Connor), 05/07/1917 ()",Location a guess based on description in WNL,53.14902398491301,-6.064205150321991,2
254,Cinema254,,Cinema,,Cinema,,1899,,Monaghan,Monaghan,,"Monaghan, Monaghan",Harry Chadwick,Harry Chadwick,,,,,,,Proprieter: Harry ChadwickManager: Harry ChadwickMusical Director: ,,,,,0
255,Cinema255,,Moynan's  Picture Palace,,Cinema,01-Sep-18,1918,,Tipperary,Templemore,Main Street,"Templemore, Tipperary",George Moynan,,,,,,,,Proprieter: George MoynanManager: Musical Director: ,TS 31/08/1918 (first mention),Opening date based on first advertised screening. This was a part-time cinema. Location based on George Moynan's address.,52.797345,-7.832509,0
256,Cinema256,,"Pictures, Town Hall",,Multipurpose venue,,1899,,Clare,Ennis,,"Ennis, Clare",,,,,,,,,Proprieter: Manager: Musical Director: ,KLW 27/04/1911,,52.84251436315246,-8.983161105281821,0
257,Cinema257,,Strand Cinema,,Cinema,17-Jan-35,1935,,Derry,Derry,Strand Road,"Derry, Derry",,W.L. James (1929- ),,,,,,,Proprieter: Manager: W.L. James (1929- )Musical Director: ,"Cinema Treasures; Bio 09/01/1929 (James, fire)",,,,0
